ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
00526473819A,0,5,2,6,4,7,3,8,1,9,10,53226
00534678192A,0,5,3,4,6,7,8,1,9,2,10,53230
00346528791A,0,3,4,6,5,2,8,7,9,1,10,53232
00324768591A,0,3,2,4,7,6,8,5,9,1,10,53240
00541368792A,0,5,4,1,3,6,8,7,9,2,10,53244
00463752891A,0,4,6,3,7,5,2,8,9,1,10,53290
00346275198A,0,3,4,6,2,7,5,1,9,8,10,53293
00451326897A,0,4,5,1,3,2,6,8,9,7,10,53295
0045327896A1,0,4,5,3,2,7,8,9,6,10,1,53297
0045637829A1,0,4,5,6,3,7,8,2,9,10,1,53297
00436758291A,0,4,3,6,7,5,8,2,9,1,10,53298
00543216789A,0,5,4,3,2,1,6,7,8,9,10,53300
00326548971A,0,3,2,6,5,4,8,9,7,1,10,53304
00354216789A,0,3,5,4,2,1,6,7,8,9,10,53306
00435678192A,0,4,3,5,6,7,8,1,9,2,10,53307
00456728931A,0,4,5,6,7,2,8,9,3,1,10,53317
00436527891A,0,4,3,6,5,2,7,8,9,1,10,53320
00356172498A,0,3,5,6,1,7,2,4,9,8,10,53322
00426753891A,0,4,2,6,7,5,3,8,9,1,10,53333
0034562189A7,0,3,4,5,6,2,1,8,9,10,7,53366
0054317869A2,0,5,4,3,1,7,8,6,9,10,2,53370
00342761859A,0,3,4,2,7,6,1,8,5,9,10,53379
0035647289A1,0,3,5,6,4,7,2,8,9,10,1,53386
0045276839A1,0,4,5,2,7,6,8,3,9,10,1,53389
0013547629A8,0,1,3,5,4,7,6,2,9,10,8,53391
0045267389A1,0,4,5,2,6,7,3,8,9,10,1,53392
0043567291A8,0,4,3,5,6,7,2,9,1,10,8,53401
002437658A91,0,2,4,3,7,6,5,8,10,9,1,53402
00426378519A,0,4,2,6,3,7,8,5,1,9,10,53405
00463571892A,0,4,6,3,5,7,1,8,9,2,10,53407
00254638719A,0,2,5,4,6,3,8,7,1,9,10,53409
00215376849A,0,2,1,5,3,7,6,8,4,9,10,53416
0024513768A9,0,2,4,5,1,3,7,6,8,10,9,53422
00246537891A,0,2,4,6,5,3,7,8,9,1,10,53423
0032657841A9,0,3,2,6,5,7,8,4,1,10,9,53426
00453672918A,0,4,5,3,6,7,2,9,1,8,10,53470
00325716849A,0,3,2,5,7,1,6,8,4,9,10,53472
00356478912A,0,3,5,6,4,7,8,9,1,2,10,53476
0053674289A1,0,5,3,6,7,4,2,8,9,10,1,53477
00324617598A,0,3,2,4,6,1,7,5,9,8,10,53478
0035472869A1,0,3,5,4,7,2,8,6,9,10,1,53478
00546271893A,0,5,4,6,2,7,1,8,9,3,10,53507
00254178639A,0,2,5,4,1,7,8,6,3,9,10,53508
00542368719A,0,5,4,2,3,6,8,7,1,9,10,53510
0043621758A9,0,4,3,6,2,1,7,5,8,10,9,53512
00153472869A,0,1,5,3,4,7,2,8,6,9,10,53513
00546328197A,0,5,4,6,3,2,8,1,9,7,10,53514
0054163287A9,0,5,4,1,6,3,2,8,7,10,9,53515
0024316785A9,0,2,4,3,1,6,7,8,5,10,9,53518
0025647381A9,0,2,5,6,4,7,3,8,1,10,9,53534
00465371892A,0,4,6,5,3,7,1,8,9,2,10,53560
00245736891A,0,2,4,5,7,3,6,8,9,1,10,53562
00342657981A,0,3,4,2,6,5,7,9,8,1,10,53564
0034627589A1,0,3,4,6,2,7,5,8,9,10,1,53567
0024675398A1,0,2,4,6,7,5,3,9,8,10,1,53567
00354726981A,0,3,5,4,7,2,6,9,8,1,10,53567
00254678391A,0,2,5,4,6,7,8,3,9,1,10,53570
0046572893A1,0,4,6,5,7,2,8,9,3,10,1,53571
0025437869A1,0,2,5,4,3,7,8,6,9,10,1,53571
00346572891A,0,3,4,6,5,7,2,8,9,1,10,53572
0052437619A8,0,5,2,4,3,7,6,1,9,10,8,53573
0043562789A1,0,4,3,5,6,2,7,8,9,10,1,53575
